Policy,Episode,Run_Time_sec,Generated_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward,Avg_Queue_Length,Load_Imbalance_Std,Freq_Server_0,Freq_Server_1,Freq_Server_2
DQN,45,0.017159461975097656,2805.0,2805.0,0,300,-3698.559999999999,1232.8533333333332,581.172634805626,300,0,0
DQN,46,0.018106460571289062,2932.0,2932.0,0,300,-3939.5299999999993,1313.1766666666667,619.0374172639644,300,0,0
DQN,47,0.01700425148010254,2985.0,2985.0,0,300,-4018.2799999999993,1339.4266666666667,631.411785934729,300,0,0
DQN,48,0.01699662208557129,2858.0,2858.0,0,300,-3933.579999999999,1311.1933333333334,618.1024649643954,300,0,0
DQN,49,0.017007112503051758,2846.0,2846.0,0,300,-3830.059999999998,1276.6866666666667,601.8358663002996,300,0,0
DQN,50,0.01899099349975586,2833.0,2833.0,0,300,-3775.360000000001,1258.4533333333334,593.2405905378765,300,0,0
DQN,51,0.018000125885009766,2783.0,2783.0,0,300,-3836.0899999999992,1278.6966666666667,602.7833893870895,300,0,0
DQN,52,0.0169985294342041,2844.0,2844.0,0,300,-3817.47,1272.49,599.85753866138,300,0,0
DQN,53,0.01757669448852539,2895.0,2895.0,0,300,-3897.970000000001,1299.3233333333333,612.5068933026059,300,0,0
DQN,54,0.0169832706451416,2874.0,2874.0,0,300,-3907.8800000000024,1302.6266666666668,614.0640995696189,300,0,0
DQN,55,0.01701974868774414,2912.0,2912.0,0,300,-3882.8199999999997,1294.2733333333333,610.1263004726113,300,0,0
DQN,56,0.017521142959594727,2888.0,2888.0,0,300,-3966.0100000000016,1322.0033333333333,623.1983478341465,300,0,0
DQN,57,0.017005443572998047,2817.0,2817.0,0,300,-3729.91,1243.3033333333333,586.0988120478924,300,0,0
DQN,58,0.018070697784423828,2839.0,2839.0,0,300,-3793.2599999999998,1264.42,596.0533041785962,300,0,0
DQN,59,0.01700282096862793,2879.0,2879.0,0,300,-3867.88,1289.2933333333333,607.7787059590718,300,0,0
DQN,60,0.015956878662109375,2837.0,2837.0,0,300,-3826.2299999999996,1275.41,601.2340398620896,300,0,0
DQN,61,0.019126415252685547,2795.0,2795.0,0,300,-3733.399999999998,1244.4666666666667,586.6472126404126,300,0,0
DQN,62,0.018271207809448242,2872.0,2872.0,0,300,-3846.3499999999995,1282.1166666666666,604.3955928481948,300,0,0
DQN,63,0.015982389450073242,2792.0,2792.0,0,300,-3790.3599999999965,1263.4533333333334,595.5976131418316,300,0,0
DQN,64,0.0189971923828125,2881.0,2881.0,0,300,-3858.71,1286.2366666666667,606.337779473854,300,0,0
DQN,65,0.0179293155670166,2896.0,2896.0,0,300,-3974.3600000000006,1324.7866666666666,624.5104237503482,300,0,0
DQN,66,0.01699662208557129,2819.0,2819.0,0,300,-3856.3200000000006,1285.44,605.9622272056239,300,0,0
DQN,67,0.0185549259185791,2703.0,2703.0,0,300,-3571.8600000000015,1190.62,561.2636505442181,300,0,0
DQN,68,0.01795220375061035,2717.0,2717.0,0,300,-3596.4399999999996,1198.8133333333333,565.1260249178995,300,0,0
DQN,69,0.01822519302368164,2885.0,2885.0,0,300,-3882.1899999999996,1294.0633333333333,610.0273055232451,300,0,0
DQN,70,0.017084121704101562,2840.0,2840.0,0,300,-3794.4200000000005,1264.8066666666666,596.2355805933022,300,0,0
DQN,71,0.015931367874145508,2884.0,2884.0,0,300,-3934.920000000001,1311.64,618.3130256503488,300,0,0
DQN,72,0.016011714935302734,2814.0,2814.0,0,300,-3800.389999999999,1266.7966666666666,597.1736755896763,300,0,0
DQN,73,0.01750946044921875,2753.0,2753.0,0,300,-3710.340000000001,1236.78,583.023683223932,300,0,0
DQN,74,0.017006635665893555,2789.0,2789.0,0,300,-3805.58,1268.5266666666666,597.9892054106448,300,0,0
